Category,Subcategory,Product Title,Price,Rating,Reviews,Product URL
Electronics,HEADPHONES,"boAt 2025 Launch Rockerz 411, 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",1099,4.2,5,https://www.amazon.in/boAt-Bluetooth-Headphones-Wireless-Headphone/dp/B0FC2Y8XYF/ref=sr_1_3
Electronics,HEADPHONES,"pTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic, Low-Latency Game/Movie/Music Modes, Punchy Bass, BT5.3, Dual Device Pairing, Voice Assistant & Type-C Fast Charging (Blue)",799,4.1,500,https://www.amazon.in/pTron-Studio-Headphones-Low-Latency-Assistant/dp/B0FGV2CNN5/ref=sr_1_4
Electronics,HEADPHONES,"GOBOULT Newly Launched Fluid X Headphones Bluetooth Wireless with 60H Playtime, 40mm Bass Driver, Zen ENC Mic, Type-C Charging, Combat™Gaming Mode, BTv 5.4, Headphones Wireless with mic (Jet Black)",1999,4.0,2,https://www.amazon.in/Launched-Headphones-Bluetooth-Wireless-CombatTMGaming/dp/B0FNNB4C7B/ref=sr_1_5
Electronics,HEADPHONES,"boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (White Sabre)",1699,4.1,4,https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTTKCJX/ref=sr_1_6
Electronics,HEADPHONES,"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",838.,3.8,3,https://www.amazon.in/ZEBRONICS-Bluetooth-Headphones-assistant-Comfortable/dp/B07L8KNP5F/ref=sr_1_7
Electronics,HEADPHONES,Boat BassHeads 100 in-Ear Headphones with Mic (Black),339,4.1,5,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_8
Electronics,HEADPHONES,Acer Nitro Triple-Mode Gaming Headset | Bluetooth + 2.4GHz USB-C/USB-A Dongle + Wired | 50mm Drivers | 7.1 Virtual Surround | Running RGB | Low Latency <30ms | Flexible LED Mic | Windows/Android/iOS,3375,5.0,,https://www.amazon.in/Triple-Mode-Headset-Bluetooth-Surround-Flexible/dp/B0FR4KJ6NT/ref=sr_1_9
Electronics,HEADPHONES,"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",1399,4.0,4,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_10
Electronics,HEADPHONES,"Zebronics Zeb-Storm On Ear Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",523.,3.7,1,https://www.amazon.in/ZEBRONICS-Zeb-Storm-Microphone-Adjustable-Lightweight/dp/B0B4G44RFS/ref=sr_1_13
Electronics,HEADPHONES,"boAt 2025 Launch Rockerz 421, 40H Battery, Low Latency(40Ms), 40Mm Drivers, Enx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Sage Green)",1399,4.2,500,https://www.amazon.in/boAt-Rockerz-Bluetooth-Headphones-Headphone/dp/B0F7LZ2GW2/ref=sr_1_14
Electronics,HEADPHONES,"Boat Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)",1299,3.7,1,https://www.amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3NQHX/ref=sr_1_15
Electronics,HEADPHONES,"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Blue",3990,4.2,2,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1RT9S2/ref=sr_1_16
Electronics,HEADPHONES,"Boat Rockerz 430, 40mm Drivers, 40ms Latency, 40H Battery, ENx Tech, Adaptive Fit, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Black Sabre)",1199,3.4,1,https://www.amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTSTQWL/ref=sr_1_17
Electronics,HEADPHONES,"HP H200 On Ear Wireless Headset, Black",999,4.0,5,https://www.amazon.in/HP-99Y16AA-H200-Wireless-Headset/dp/B0DHKJ5HWL/ref=sr_1_18
Electronics,HEADPHONES,"boAt Rockerz 650 Pro (2025 Launch),Touch/Swipe Controls,Dolby Audio,80Hrs Battery,2Mics Enx,Fast Charge,App Support,Dual Pair,Bluetooth Over Ear Headphones,Wireless Headphone with Mic (Sage Green)",2999,4.2,1,https://www.amazon.in/boAt-Rockerz-650-Pro-Headphones/dp/B0DV5GLTLZ/ref=sr_1_19
Electronics,HEADPHONES,"ZEBRONICS Jet Premium Wired Gaming On Ear Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, Flexible mic, Suspension Headband, 3.5mm + USB Connector (Black + Blue)",775,3.9,1,https://www.amazon.in/ZEBRONICS-Headphone-Neodymium-Suspension-Controller/dp/B0B5RL2G3S/ref=sr_1_20
Electronics,KEYBOARD,ZEBRONICS ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,249,3.7,5,https://www.amazon.in/ZEBRONICS-ZEB-KM2100-Multimedia-Including-Dedicated/dp/B077T3BG5L/ref=sr_1_3
